word	freq
छ	13967
र	12833
गरेको	5514
लागि	5379
भएको	4854
छन्	4844
थियो	4806
एक	4319
गर्न	3787
पनि	3512
भने	3447
गर्ने	2966
को	2899
थिए	2813
मा	2792
नेपाल	2622
हजार	2584
गरिएको	2575
हो	2481
गरेका	2434
उनले	2416
यो	2310
गर्दै	1775
अनुसार	1750
नेपाली	1710
तथा	1664
आफ्नो	1623
रु	1612
रहेको	1597
सरकारले	1488
हुने	1471
दुई	1465
लाख	1423
आज	1421
मूल्य	1310
१	1282
का	1281
ले	1265
सन्	1182
तर	1165
प्रतितोला	1155
प्राप्त	1138
कि	1118
करोड	1082
नेपालले	1069
पहिलो	1066
जारी	1048
यस	1028
जानकारी	1025
भएका	1011
राष्ट्रिय	1005
कारण	956
कुनै	949
१०	947
जनाएको	941
गरे	928
केही	918
नयाँ	911
बताए	898
निर्णय	875
२	874
तीन	867
गरी	866
वर्ष	860
अध्यक्ष	856
गत	846
रुपैयाँ	834
रूपमा	829
प्रमुख	807
आर्थिक	806
दिन	777
दिएको	771
सबै	762
नेकपा	756
दिए	751
मात्र	750
प्रधानमन्त्री	746
छैन	738
काम	728
काठमाण्डाै	718
सुरु	710
अन्तर्राष्ट्रिय	706
बैठक	706
बढी	703
हुन्	701
विभिन्न	697
उनको	690
पार्टी	683
केन्द्रीय	680
हुनेछ	676
अन्य	672
क्रिकेट	668
आगामी	660
खेलमा	653
३	651
सुनको	650
धेरै	644
६	641
२०	632
भइरहेको	629
आयोजना	627
पराजित	627
१५	621
मत	620
खेल	614
हामी	613
सार्वजनिक	608
सय	600
घोषणा	599
बैठकमा	599
हुन	598
वा	597
बताएका	587
अर्ब	585
उनी	585
५	584
देखि	583
१९	580
छलफल	579
वटा	575
आएको	569
११	569
चार	568
छापावाला	555
रुपमा	552
जुन	539
गते	532
दोस्रो	532
वर्षको	532
पाँच	527
उक्त	520
विकास	520
४	519
माग	518
पटक	517
उच्च	510
यसअघि	510
शुक्रबार	508
निर्वाचन	506
यस्तै	503
प्रदेश	501
जना	500
बिहीबार	490
महिला	488
भारतीय	482
साथ	479
विषयमा	476
रहेका	470
प्रतिशत	469
नेपालको	466
स्थानीय	466
थप	464
निर्माण	463
एमाले	458
योजना	457
नै	452
प्रहरी	451
आवश्यक	450
जसले	448
के	444
कारोबार	443
कारोवार	443
यी	443
सेवा	440
बारेमा	438
बिहान	438
रन	435
सञ्चालन	435
क्रममा	432
बुधबार	431
भन्ने	431
सुन	430
उल्लेख	427
म	427
प्रयोग	426
२८	426
वृद्धि	424
लाई	421
हामीले	419
१२	417
विकेट	414
प्रदान	412
सोमबार	412
२५	412
केन्द्र	410
दिने	409
आइतबार	406
कार्यक्रम	403
थिइन्	402
गर्नेछ	400
नेपालका	396
प्रहरीले	394
बैठकले	394
यही	394
५०	393
उनलाई	392
रकम	392
कुरा	388
संयुक्त	387
दर्ता	386
अन्तिम	384
गर्नुभएको	384
पक्राउ	380
समय	378
बजे	377
सबैभन्दा	377
औं	372
काठमाडौँ	370
स्थानमा	366
आरोप	365
क्षेत्रमा	364
मंगलबार	364
मन्त्री	364
अर्को	363
डा	361
भए	360
करिब	357
सम्पन्न	357
सहयोग	355
पहिले	354
विशेष	351
